date,S&P500,NASDAQ100
2021-08-12,17026,12243.0
2021-08-13,17095,12304.0
2021-08-16,16975,12236.0
2021-08-17,16977,12209.0
2021-08-18,16907,12133.0
2021-08-19,16795,12066.0
2021-08-20,16802,12117.0
2021-08-23,16933,12240.0
2021-08-24,17067,12410.0
2021-08-25,17106,12457.0
2021-08-26,17177,12489.0
2021-08-27,17067,12408.0
2021-08-30,17177,12504.0
2021-08-31,17277,12661.0
2021-09-01,17301,12677.0
2021-09-02,17277,12679.0
2021-09-03,17319,12667.0
2021-09-06,17297,12693.0
2021-09-07,17289,12687.0
2021-09-08,17307,12763.0
2021-09-09,17278,12713.0
2021-09-10,17130,12613.0
2021-09-13,17029,12537.0
2021-09-14,17079,12540.0
2021-09-15,16923,12454.0
2021-09-16,17029,12524.0
2021-09-17,17065,12580.0
2021-09-21,16585,12144.0
2021-09-22,16519,12119.0
2021-09-24,17063,12486.0
2021-09-27,17141,12534.0
2021-09-28,17138,12465.0
2021-09-29,16882,12175.0
2021-09-30,16951,12190.0
2021-10-01,16677,12085.0
2021-10-04,16802,12121.0
2021-10-05,16572,11852.0
2021-10-06,16857,12095.0
2021-10-07,16891,12147.0
2021-10-08,17085,12289.0
2021-10-11,17140,12289.0
2021-10-12,17204,12330.0
2021-10-13,17161,12286.0
2021-10-14,17198,12369.0
2021-10-15,17570,12656.0
2021-10-18,17760,12778.0
2021-10-19,17808,12900.0
2021-10-20,18016,13046.0
2021-10-21,18019,12982.0
2021-10-22,18035,13039.0
2021-10-25,17966,12890.0
2021-10-26,18069,13036.0
2021-10-27,18148,13107.0
2021-10-28,18017,13111.0
2021-10-29,18163,13239.0
2021-11-01,18267,13349.0
2021-11-02,18303,13397.0
2021-11-04,18494,13602.0
2021-11-05,18515,13729.0
2021-11-08,18559,13723.0
2021-11-09,18518,13660.0
2021-11-10,18388,13514.0
2021-11-11,18418,13450.0
2021-11-12,18475,13523.0
2021-11-15,18569,13635.0
2021-11-16,18604,13652.0
2021-11-17,18785,13832.0
2021-11-18,18626,13750.0
2021-11-19,18720,13919.0
2021-11-22,18652,13964.0
2021-11-24,18806,13873.0
2021-11-25,18869,13938.0
2021-11-26,18804,13890.0
2021-11-29,18192,13462.0
2021-11-30,18432,13776.0
2021-12-01,18005,13494.0
2021-12-02,17749,13246.0
2021-12-03,18022,13355.0
2021-12-06,17867,13120.0
2021-12-07,18144,13281.0
2021-12-08,18531,13690.0
2021-12-09,18629,13779.0
2021-12-10,18441,13531.0
2021-12-13,18632,13694.0
2021-12-14,18482,13499.0
2021-12-15,18366,13373.0
2021-12-16,18733,13738.0
2021-12-17,18515,13339.0
2021-12-20,18285,13256.0
2021-12-21,18085,13116.0
2021-12-22,18490,13479.0
2021-12-23,18688,13647.0
2021-12-24,18849,13787.0
2021-12-27,18836,13778.0
2021-12-28,19185,14061.0
2021-12-29,19156,13986.0
2021-12-30,19204,14004.0
2022-01-04,19291,14064.0
2022-01-05,19408,13969.0
2022-01-06,19007,13516.0
2022-01-07,18978,13502.0
2022-01-11,18773,13298.0
2022-01-12,18944,13494.0
2022-01-13,18885,13464.0
2022-01-14,18530,13057.0
2022-01-17,18583,13180.0
2022-01-18,18618,13205.0
2022-01-19,18302,12884.0
2022-01-20,18060,12700.0
2022-01-21,17789,12479.0
2022-01-24,17456,12137.0
2022-01-25,17527,12214.0
2022-01-26,17288,11892.0
2022-01-27,17383,11995.0
2022-01-28,17415,11936.0
2022-01-31,17837,12319.0
2022-02-01,18130,12693.0
2022-02-02,18183,12719.0
2022-02-03,18315,12794.0
2022-02-04,17955,12314.0
2022-02-07,18089,12507.0
2022-02-08,18028,12407.0
2022-02-09,18220,12584.0
2022-02-10,18495,12853.0
2022-02-14,17790,12150.0
2022-02-15,17721,12162.0
2022-02-16,18046,12492.0
2022-02-17,18030,12456.0
2022-02-18,17569,12033.0
2022-02-21,17462,11906.0
2022-02-22,17421,11878.0
2022-02-24,16951,11471.0
2022-02-25,17299,11930.0
2022-02-28,17684,12111.0
2022-03-01,17601,12124.0
2022-03-02,17289,11899.0
2022-03-03,17706,12166.0
2022-03-04,17583,11967.0
2022-03-07,17384,11758.0
2022-03-08,16940,11363.0
2022-03-09,16876,11358.0
2022-03-10,17330,11776.0
2022-03-11,17304,11679.0
2022-03-14,17269,11557.0
2022-03-15,17238,11398.0
2022-03-16,17629,11772.0
2022-03-17,18114,12269.0
2022-03-18,18292,12379.0
2022-03-22,18708,12750.0
2022-03-23,19097,13117.0
2022-03-24,18849,12922.0
2022-03-25,19279,13315.0
2022-03-28,19404,13323.0
2022-03-29,19859,13752.0
2022-03-30,19821,13787.0
2022-03-31,19683,13626.0
2022-04-01,19347,13395.0
2022-04-04,19447,13439.0
2022-04-05,19627,13724.0
2022-04-06,19616,13566.0
