date,TOPIX,NASDAQ100,S&P500
2019-07-31,10634,,11035.0
2019-08-01,10649,,10978.0
2019-08-02,10418,,10671.0
2019-08-05,10231,,10514.0
2019-08-06,10186,,10152.0
2019-08-07,10191,,10316.0
2019-08-08,10182,,10319.0
2019-08-09,10217,,10506.0
2019-08-13,10099,,10257.0
2019-08-14,10187,,10503.0
2019-08-15,10082,,10166.0
2019-08-16,10091,,10203.0
2019-08-19,10153,,10377.0
2019-08-20,10237,,10526.0
2019-08-21,10174,,10415.0
2019-08-22,10178,,10528.0
2019-08-23,10206,,10525.0
2019-08-26,10042,,10102.0
2019-08-27,10120,,10286.0
2019-08-28,10125,,10243.0
2019-08-29,10127,,10340.0
2019-08-30,10274,,10515.0
2019-09-02,10229,,10491.0
2019-09-03,10267,,10510.0
2019-09-04,10240,,10399.0
2019-09-05,10427,,10561.0
2019-09-06,10445,,10765.0
2019-09-09,10541,,10764.0
2019-09-10,10587,,10814.0
2019-09-11,10762,,10838.0
2019-09-12,10839,,10960.0
2019-09-13,10940,,11010.0
2019-09-17,10971,,10965.0
2019-09-18,10918,,10994.0
2019-09-19,10979,,11020.0
2019-09-20,10983,,10983.0
2019-09-24,11028,,10891.0
2019-09-25,11008,,10743.0
2019-09-26,11030,,10871.0
2019-09-27,11005,,10856.0
2019-09-30,10893,,10808.0
2019-10-01,10998,,10890.0
2019-10-02,10950,,10709.0
2019-10-03,10761,,10456.0
2019-10-04,10789,,10520.0
2019-10-07,10789,,10657.0
2019-10-08,10884,,10674.0
2019-10-09,10850,,10482.0
2019-10-10,10849,,10605.0
2019-10-11,10943,,10749.0
2019-10-15,11114,,10880.0
2019-10-16,11191,,11021.0
2019-10-17,11141,,11000.0
2019-10-18,11126,,11028.0
2019-10-21,11171,,10966.0
2019-10-23,11236,,10991.0
2019-10-24,11276,,11050.0
2019-10-25,11307,,11076.0
2019-10-28,11307,,11128.0
2019-10-29,11405,,11210.0
2019-10-30,11428,,11188.0
2019-10-31,11436,,11227.0
2019-11-01,11432,,11106.0
2019-11-05,11623,,11334.0
2019-11-06,11624,,11351.0
2019-11-07,11650,,11344.0
